No,University Name,Country,Location,World Ranking,Field of Study,Program Name,Mode of Study,Duration,Tuition Fees,Scholarships/Financial Aid,GPA,Grade Requirements,Standardized Tests (Processed),Language Requirements,Other Requirements,Source URL,Raw Text Snippet,Last Crawled Date,Standardized Language Requirements,English_Proficiency_Rating
1,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Engineering,BS Computer Engineering,Campus,4 years,"$31,500–33,000 / year",Yes (merit & need-based awards; college scholarships),3,; engineering freshmen historically in top ~‚Äì% of class; institutional expectations vary (no single numeric cutoff on department page),No,TOEFL iBT 80 / IELTS Academic 6.5 (min; dept may require higher).,Strong high-school math & science prep; placement/engineering orientation.,https://catalog.uic.edu/ucat/colleges-depts/engineering/ece/bs-ce/,"To earn a Bachelor of Science in Computer Engineering degree from UIC, students need to complete university, college, and department degree requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
2,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Engineering,BS Electrical Engineering,Campus,4 years,"$31,500–33,000 / year",Yes (merit & need-based awards; assistantships at grad level),3,; departmental degree requirements; no single published freshman cutoff on page,No,TOEFL iBT 80 / IELTS 6.5.,Departmental core & lab requirements; accreditation (ABET).,https://catalog.uic.edu/ucat/colleges-depts/engineering/ece/bs-ee/,"To earn a Bachelor of Science in Electrical Engineering degree from UIC, students need to complete university, college, and department degree requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
3,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Engineering,BS Mechanical Engineering,Campus,4 years,"$31,500–33,000 / year",Yes (scholarships),3,; joint program notes require institutional   for some joint options,No,TOEFL iBT 80 / IELTS 6.5.,Capstone project sequence (ME 444/445).,https://catalog.uic.edu/ucat/colleges-depts/engineering/mie/bs-me/,"To earn a Bachelor of Science in Mechanical Engineering degree from UIC, students need to complete university, college, and department degree requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
4,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Engineering,BS Industrial Engineering,Campus,4 years,"$31,500–33,000 / year",Yes,3,; joint programs list institutional   for progression,No,TOEFL iBT 80 / IELTS 6.5.,Professional development seminar (IE 499) capstone requirement.,https://catalog.uic.edu/ucat/colleges-depts/engineering/mie/bs-ie/,"To earn a Bachelor of Science in Industrial Engineering degree from UIC, students need to complete university, college, and department degree requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
5,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Engineering,BS Biomedical / Bioengineering,Campus,4 years,"$31,500–33,000 / year",Yes,3,,No,TOEFL iBT 80 / IELTS 6.5.,Coursework includes BME intro and bioengineering labs.,https://catalog.uic.edu/ucat/colleges-depts/engineering/bme/bs/,"To earn a Bachelor of Science in Biomedical Engineering degree from UIC, students need to complete university, college, and department degree requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
6,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Engineering,BS Chemical Engineering,Campus,4 years,"$31,500–33,000 / year",Yes,3,,No,TOEFL iBT 80 / IELTS 6.5.,"Concentrations available (biochemical, energy, polymers, etc.).",https://catalog.uic.edu/ucat/colleges-depts/engineering/che/,"Chemical Engineering - Biochemical Engineering Concentration, Energy and Environment, Polymers...",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
7,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Engineering,BS Civil Engineering,Campus,4 years,"$31,500–33,000 / year",Yes,3,,No,TOEFL iBT 80 / IELTS 6.5.,CE degree requirements and professional accreditation info on catalog.,https://catalog.uic.edu/ucat/colleges-depts/engineering/cme/,Civil Engineering - BS ... degree requirements.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
8,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,IT,BS Computer Science,Campus,4 years,"$31,500–33,000 / year",Yes (dept & university scholarships),3,; department lists degree requirements (no single numeric freshman cutoff),No,TOEFL iBT 80 / IELTS 6.5.,"Majors offered: Computer Science, Computer Science + Design, Data Science.",https://cs.uic.edu/undergraduate/majors/,"The computer science department offers three majors for undergraduate students ... Computer Science, Computer Science + Design, Data Science.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
9,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,IT,BS Computer Science + Design,Campus,4 years,"$31,500–33,000 / year",Yes,3,Admission to major depends on meeting department prerequisites (math/CS courses),No,TOEFL iBT 80 / IELTS 6.5.,Combines CS core with design coursework.,https://cs.uic.edu/undergraduate/cs-and-design/,Computer science core requirements … plus design components.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
10,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,IT,BS Data Science,Campus,4 years,"$31,500–33,000 / year",Yes,3,; program draws on engineering math business colleges,No,TOEFL iBT 80 / IELTS 6.5.,"Concentrations available (business analytics, bioinformatics, etc.).",https://cs.uic.edu/undergraduate/data-science-major/,To make sure each UIC data science major is prepared ... we tapped into the expertise of three UIC colleges.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
